resample,b2_minus_b1_crossover_layer,ft_minus_tf_crossover_layer
298,18.130931694338347,18.036206084854676
299,17.94173472718883,18.14917691482748
300,18.086964112925543,18.15065149675943
301,17.62428315574551,18.333123237347152
302,17.74517637004365,18.165304531838856
303,17.75044357474293,17.941597688855097
304,17.81359809526666,18.47263575184753
305,17.913631911966885,17.893374911581912
306,17.883171548586265,18.007345880657297
307,17.73523866830047,18.230762090341504
308,18.35272876578098,18.26544721543231
309,17.613738897703307,18.047368957459813
310,17.738463933960706,18.18801947265428
311,18.008625935877035,18.083346553976263
312,18.127445928699,18.256997909430332
313,18.12627978291436,18.161749812526736
314,18.080434928906275,18.10852626280529
315,17.82192419192915,17.81106873338071
316,18.037536450808172,18.0317074455493
317,17.755876550805624,18.21392869918583
318,17.971768186240265,17.517147460290712
319,17.660084849466553,18.120362748039543
320,17.944938916446084,18.061309803255718
321,18.084240485769023,17.7712495725081
322,18.541740441802553,18.02460229754922
323,18.04657465885973,17.98836466946135
324,17.947262115283202,18.076276330506424
325,17.92955411449685,17.982827015496415
326,17.794975280047122,17.94579377232383
327,18.23397180603169,18.22051727167753
328,17.90339340827403,18.242867784378316
329,18.159414008200848,18.21467857534378
330,18.236147731088984,18.37171863521289
331,18.03806827562002,17.79597555575451
332,17.962653500433287,18.11137342152724
333,18.014561868499786,17.988734081577263
334,17.974590876274753,18.549159229582763
335,17.958466967173944,18.341950354668956
336,17.990491382132202,18.102918524935628
337,18.189169282330408,18.045095759911973
338,17.933155754072363,18.372678441515585
339,18.074910527359304,18.330323685217547
340,18.218623420217558,18.274450169045256
341,18.066233627534814,18.25611474646292
342,17.727617910728412,18.045339724307187
343,17.78453997581542,18.257383130549005
344,17.92976837744585,18.317019564852576
345,18.09729196244562,18.12801449947294
346,17.769699368836278,18.091694685936755
347,17.79261253546429,18.034233611732915
348,18.181604627766962,18.4571190886086
349,18.15616469709004,18.080366198620858
350,18.029144236737878,18.19185377002236
351,18.16683861054711,17.866312276998514
352,17.808690869295514,18.184185148206975
353,18.197153352249277,17.7282342899717
354,17.82137196404347,18.168277294318447
355,17.764277501688063,18.016421028633335
356,17.968728650795875,18.029170903281894
357,18.245927493199016,18.01369889913649
358,18.09966414650388,18.51640517118243
359,17.978642185521768,18.02876942803265
360,17.607224513157757,18.314858961734718
361,17.91898648950028,18.132746744735616
362,17.697801088957238,18.18291168177367
363,18.26036489668645,18.325680852086666
364,18.14900150416347,18.31028747469104
365,18.05250648472513,17.762771643803436
366,18.02544623478088,18.110498934808355
367,17.978501974378595,18.300932525500873
368,18.09586171019518,18.279040213175403
369,18.221090637575095,18.236957031370398
370,18.155980478696897,18.288924295876612
371,18.039592120100696,18.20321007635352
372,18.01232898334734,17.899222363245595
373,17.695258099479492,18.265946206555505
374,18.000786157264145,17.99363285038177
375,17.72333755247202,17.981439062955854
376,18.182402429015394,18.413491852223586
377,18.080363150029665,17.801979351257636
378,17.988672481732905,18.587878693350895
379,18.066131941339787,18.115227285746236
380,18.0482353222315,18.28137122301795
381,18.358432422062766,18.48204620829215
382,17.801581617894175,18.18621110221625
383,17.792961521917597,18.289319208536185
